data,progetto,operazione,agenti,token_agenti,fonte
2026-07-03,poker (Who's the Boss),"Audit multi-agente ALTO su R6+R7.1 (45 finding confermati, 11 confutati)",67,2638212,_processo/METRICHE.md
2026-07-03,poker (Who's the Boss),"Ricerca modelli/effort per il metodo (dossier in SideKick esperimenti/)",5,688672,_processo/METRICHE.md
2026-07-03,progetto-15,"Audit multi-agente ALTO (12 confermati, 1 confutato + ombra Sonnet-vs-Opus)",21,1070000,report audit del progetto
